"name","lat","lon"
"Kalifonsky Meadows Airport","60.491537","-151.2352525"
"Pilot Station Airport","61.934601","-162.899994"
"Scotts Airport","64.39250183105469","-146.86199951171875"
"Anderson Lake Airport","61.61690139770508","-149.32200622558594"
"Yentna Bend Strip","61.725556","-150.678611"
"Parker Lake Airport","62.0359001159668","-150.49400329589844"
"Young Creek Airport","61.355352","-142.731832"
"Victory Airport","61.80339813232422","-147.94400024414062"
"Bradley Lake Hydroelectri Project Airstrip","59.776100158691406","-150.95899963378906"
"Falcon Lake Strip","61.33259963989258","-150.0590057373047"
"Resort Airport","30.443899154663086","-87.65689849853516"
"Flomaton Airport","31.03219985961914","-87.25279998779297"
"Wilson Creek Airport","34.849998474121094","-87.63249969482422"
"Mission Field-Marotti Memorial Airport","35.26679992675781","-90.35009765625"
"Western Sky Airport","33.778166","-113.640625"
"Flying Bucket Ranch Airport","32.9822998046875","-112.28700256347656"
"Castle Well Airport","33.865944","-112.603265"
"Brewer Airport","44.76369857788086","-68.7677993774414"
"Warren-Sugarbush Airport","44.1166992188","-72.8271026611"
"Triple R Airport","39.48780059814453","-94.78050231933594"
"Hinckley Airport","41.77090072631836","-88.70339965820312"
"Canadian Lakes Airport","43.57640075683594","-85.28060150146484"
"Grandpas' Farm Mendota Airport","41.521999","-89.132599"
"Cushing Field Ltd Airport","41.519500732421875","-88.60559844970703"
"Crawford Airport","34.587501525878906","-120.01300048828125"
"Shepherd Farm Airport","34.6222","-120.065002"
"Hoffman Private Airport","33.14310073852539","-116.74500274658203"
"Emory Ranch Airport","32.7494444","-116.0161111"
"Ward Ranch Airport","33.4277992249","-116.843002319"
"Blech Ranch Airport","35.5950012207","-120.338996887"
"Foxx Valley Airport","38.652500152600005","-104.23400116"
"Pinon Canyon Airport","37.490501403799996","-104.143997192"
"Fox Hole Airport","40.004699707","-105.071998596"
"Yosemite Hidden Lake Ranch Airport","37.11800003049999","-119.913002014"
"Krey Field Airport","34.5694007874","-117.555999756"
"John Nichol's Field Airport","32.633098602299995","-116.892997742"
"Bohunk's Airpark","34.694698333699996","-118.282997131"
"Tera Ultralightport","35.5913009644","-117.634002686"
"Fiorini Ranch Airport","37.452178","-120.764758"
"Sutter Butte Dusters Airport","39.228622","-121.688265"
"Dave's Airport","40.0332984924","-105.124000549"
"Crested Butte Airpark","38.851918","-106.928341"
"Chenoweth Airport","39.8333015442","-103.589996338"
"Flying M & M Ranch Airport","38.2193984985","-108.212997437"
"Cartwheel Airport","40.2083015442","-105.013000488"
"Van Treese Airport","37.6582984924","-106.033996582"
"Wilber Municipal Airport","40.474998474121094","-96.98780059814453"
"Ada Airport","40.79059982299805","-83.8291015625"
"Air Park North","44.958","-84.9587"
"Corydon Airport","40.75450134277344","-93.24130249023438"
"Ott's Landing Airport","27.3039","-81.880403"
"The 2A Ranch Airport","29.2675","-81.230103"
"Dugger Field","30.496400833129883","-86.09380340576172"
"Breezy Knoll Airport","30.820199966430664","-86.34439849853516"
"Joy Farms Airport","30.652099609375","-86.1093978881836"
"Harper's Fly-In Ranch Airport","26.730600357055664","-81.16390228271484"
"Mc Daniel Ranch Inc. Airport","26.3938999176","-81.0231018066"
"North Buffalo Suburban Airport","43.103199","-78.7033"
"Halls Flying Ranch Airport","33.356201171875","-84.36710357666016"
"Mustang Field","34.477901458740234","-82.89710235595703"
"Airnautique, Inc. Airport","34.377899169921875","-82.9457015991211"
"Ayresouth Airport","33.77009963989258","-85.06079864501953"
"Paradise Falls Airport","33.81290054321289","-83.50569915771484"
"Sunset Strip","33.7333984375","-83.81880187988281"
"Paso Fino Farm Airport","30.887100219726562","-83.41600036621094"
"Roberta Industrial Park Airport","32.71390151977539","-84.02749633789062"
"Pinewood Airport","33.782100677490234","-84.80079650878906"
"Crystal Lake Airpark","31.66550064086914","-83.44709777832031"
"Lookout Mountain Airport","34.904701232910156","-85.45970153808594"
"Pecan Patch Airstrip","33.33140182495117","-84.2667007446289"
"Mountain Airpark","34.561798095703125","-83.7135009765625"
"Carpenter Airport","33.520301818847656","-82.37249755859375"
"Pegasus Ranch Airport","32.69390106201172","-81.79859924316406"
"Kahoka Municipal Airport","40.421600341796875","-91.706298828125"
"Brazil Clay County Airport","39.47669982910156","-87.09970092773438"
"Hawkeye Airport","42.43470001220703","-92.3280029296875"
"Sharar Field","41.03340148925781","-91.05010223388672"
"Moore Private Airport","40.87220001220703","-93.26270294189453"
"Rinehart Airport","41.659698486328125","-92.28990173339844"
"Hannen Airport","42.22800064086914","-91.7509994506836"
"South Fork Ranch Airport","43.60639953613281","-115.10700225830078"
"Ziggy's Airport","42.64120101928711","-114.6050033569336"
"Flying Joseph Ranch Airport","44.442901611299995","-113.773002625"
"Coyote Run Airport","43.075801849365234","-115.6729965209961"
"Black Butte Ranch Airport","43.047698974609375","-114.47000122070312"
"Ez Lope Ranch Airport","43.0531005859375","-116.46199798583984"
"Z X Ranch Airport","43.230308","-116.763192"
"Pinnacle Airport","45.775197","-116.178475"
"Corral Creek Airport","46.785278","-116.471131"
"Chuck's Airport","40.2599983215332","-85.25330352783203"
"Unsicker Airport","40.4281005859375","-86.1532974243164"
"Creighton Airport","41.457298278808594","-86.12439727783203"
"Marshall Field","40.65950012207031","-86.8572006225586"
"Kropf Airport","41.64310073852539","-85.82969665527344"
"Frost Field","39.79560089111328","-85.78610229492188"
"Sutton's Field","41.324798583984375","-87.47589874267578"
"Winters Airport","39.53419876098633","-86.57720184326172"
"Griffin Airport","38.803056","-88.997778"
"Flying B Ranch Airport","40.15700149536133","-87.67449951171875"
"Walter Airport","41.872501373291016","-88.72370147705078"
"Jack W. Watson Airport","41.854801177978516","-88.78730010986328"
"Snider Field","38.5","-87.59590148925781"
"The Lazy K Airport","40.82780075073242","-85.08609771728516"
"Graves Landing Strip","41.11669921875","-86.66670227050781"
"Air Park Field","41.12779998779297","-84.94719696044922"
"Byrne Field","38.32899856567383","-86.03359985351562"
"Parrish Airport","37.993099212646484","-87.95140075683594"
"Cady Aerial RLA Restricted Landing Area","41.660800933800004","-89.69360351559999"
"Dawson Farms Airport","39.76250076293945","-88.67150115966797"
"Abbeville Municipal Airport","31.600200653076172","-85.23880004882812"
"Flying Ten Airport","29.618000030517578","-82.50869750976562"
"Dobie's Airport","36.178496","-95.580468"
"J V Ranch Airport","38.63330078125","-95.92530059814453"
"Camp Chippewa Airport","38.56669998168945","-95.36689758300781"
"Norris Airport","38.807239","-95.370056"
"Kendrigan Airport","37.45220184326172","-97.31780242919922"
"Mono Aircraft Airport","37.69279861450195","-97.88639831542969"
"Pearce Field","37.38249969482422","-95.37470245361328"
"Lmn 120 Airport","37.515899658203125","-96.9197998046875"
"Owen Air Park","38.622798919677734","-84.77890014648438"
"Arnemann Farms Airport","36.76559829711914","-86.61830139160156"
"Cambron Field","37.56439971923828","-87.08190155029297"
"Falin Landing Strip","36.8125","-86.375"
"Clinton-Hickman County Airport","36.63610076904297","-88.99859619140625"
"Lida Junction Airport","37.485801696777344","-117.19100189208984"
"Goldfield Airport","37.722751","-117.236368"
"Double H Ranch Airport","30.229400634765625","-90.97339630126953"
"Belcher Airpatch Airport","32.749298095703125","-93.87349700927734"
"Rebel Field","30.586299896240234","-90.86150360107422"
"Kaufield Airport","42.26470184326172","-88.7300033569336"
"Jerseyville Aviation Inc Airport","39.094200134277344","-90.31340026855469"
"Murk's Strip","40.738899231","-90.38069915770001"
"Koenig Airport","39.05500030517578","-90.34210205078125"
"Flaherty Field","41.4192008972168","-89.12310028076172"
"Busboom RLA Restricted Landing Area","40.1100006104","-88.07839965820001"
"Gord Airport","41.69839859008789","-88.60759735107422"
"Theriot Field","29.74970054626465","-90.73580169677734"
"Trahan Ultralightport","30.306900024414062","-92.12979888916016"
"Dufour Airport","30.787700653076172","-92.05039978027344"
"Morgan Field","30.61280059814453","-91.48419952392578"
"Lonesome Dove Airfield","30.28580093383789","-92.94129943847656"
"Huenefeld Airport","32.50429916381836","-91.98210144042969"
"Taylor Field","39.18730163574219","-75.7927017211914"
"Squier Landing Airport","38.287781","-76.867575"
"Pond View Private Airport","39.26679992675781","-76.18720245361328"
"Walters Airport","39.38119888305664","-77.10579681396484"
"Peasley Field","44.742469","-68.474403"
"Sugar Springs Airpark","44.140301","-84.4375"
"Kelleys Airport","44.633399963378906","-84.4833984375"
"Lesterson-Dempsey Airstrip","46.270198","-87.386496"
"Young's Airport","46.38750076293945","-85.18399810791016"
